text input,category
I didn't do very well at dieting.,thought
That I don't have enough willpower.,thought
That I can't lose weight.,thought
That i'll always be fat and unhealthy,thought
That I'll never get this assignment done.,thought
That I might lose my job,thought
That I can't pay my bills,thought
That I'll lose my house,thought
That nobody would like me.,thought
I would be an outcast.,thought
is something wrong with me?,thought
He shouldn't have taken it without asking me first.,thought
It would mean that I can't trust him,thought
It would make our relationship worse.,thought
Is he mad at me?,thought
I didn't do anything wrong,thought
some other reason he doesn't like me,thought
Communication worries,non-thought
It would mean that I am not a very good person when it comes to talking to others.,thought
It would mean that I need to develop myself in that direction,thought
I have nothing to draw upon,thought
I have no experiences to pull from,thought
I need to learn more,thought
I need a change of pace,thought
Worry about ability to survive,thought
Lack of monetary income,thought
It would mean that I am not a good person in society.,thought
It would mean that I failed in life.,thought
Lack of livelihood to support myself.,thought
because it would mean that I could not live the way I wanted.,thought
I would have no where to live.,thought
It would mean that I would be homeless.,thought
It would mean that I am a failure in life.,thought
Loneliness ,thought
It would mean that I an insecure about my relations,thought
It would mean that I would have to devote myself to bettering that aspect of myself.,thought
I can't do this. I'm worthless.,thought
It would say that I can't get motivated and I am a failure. It shouldn't be this hard for me to come up with something for my essay.,thought
I should be able to find more time for my family if I loved them,thought
I should have planned my time better to make room for my family's visit. They were always there for me.,thought
I am selfish and only focused on my own goals/leisure. I need to make changes to support my family.,thought
I can't even do my job right!,thought
It would mean that I feel I am not good at anything. I've been working here for 6 months and I can't get it right. ,thought
"I need to find a job, how am I going to pay my bills? It would make me feel worthless.",thought
There's something I did wrong that lead her to leave.,thought
I was unable to keep my relationship afloat.,thought
This person is not my boss and is not even providing accurate information! Why are they acting like this?,thought
I probably worded that thought poorly... but if the argument was valid it would make me feel incompetent as a supervisor of my team.,thought
i got a no for answer ,thought
because i really wanted to go on a date with that person,thought
i hurt my family ,thought
because you dont hurt family ,thought
that i lost my job ,thought
i wouldnt be able to support my family ,thought
somebody else got it ,thought
"yes, it would be upseting. It would means that my skills were not enough for the job ",thought
Because other did better than me ,thought
that i am not good ,thought
I made my sister sad,thought
because I should have behaved differently ,thought
I don't think I can get all my work done today.,thought
I have a lot of work to take care of.,thought
I won't get all of my work done.,thought
I could get fired.,thought
I could lose my home.,thought
She doesn't like the way I look.,thought
I don't find myself very attractive.,thought
I have a big nose and big ears which doesn't make me look good.,thought
I can't lose the weight I want.,thought
I am eating too much food.,thought
I don't have the discipline to diet.,thought
I have poor willpower.,thought
He doesn't think I am interesting.,thought
I don't know enough things to talk about.,thought
I am not very smart.,thought
I only had average grades in high school.,thought
I don't want her to leave home.,thought
I will miss the things we do together.,thought
We have lots of fun together.,thought
I have a great relationship with my daughter.,thought
I love my daughter.,thought
She doesn't think I am worth going out with.,thought
I wasn't good enough for her.,thought
I would think that I am unattractive.,thought
No one would want to date me.,thought
I would be alone forever.,thought
I need self discipline.,thought
I am not controlling my own thoughts and actions.,thought
I would be unable to get any difficult task completed.,thought
I would miss out on promotions and raises at work.,thought
I would be stuck where I am.,thought
I can now look for a job I like.,thought
I am unable to do this simply damned thing.,thought
I am incompetent.,thought
That I am an idiot and can't do anything right.,thought
I will fail at everything in life.,thought
I will never be happy.,thought
I want friends so I won't be lonely.,thought
If I am unlikeable then I won't have friends and will be alone all my life.,thought
They don't like me enough to wave back,thought
I may be unlikeable.,thought
I am trying to lose weight but nothing works.,thought
I would mean that even though I am trying to diet I do not have the self control to lose any weight. ,thought
I tried to let them know I would be to busy to see them during their visit.,thought
It would be upsetting because I tried to do the right thing,thought
I was honest about my time and they still did not appreciate it.,thought
The position is filled before I have a chance.,thought
It would mean that I am not even worth interviewing and I would be frustrated and upset.,thought
The person does not feel like I am worth talking to.,thought
I would mean that people see me as a boring and unintelligent person. It would make me feel sad that someone did not feel it was worth their time to have a real conversation ,thought
My mother in law thinks I am an incompetent father.,thought
I take care to watch my daughter and she has never been hurt under my watch. I generally resent being told that I am doing a bad job raising my children.,thought
It would mean that I take criticism of my parenting skills personally ,thought
I know how to watch my kids and do not need anyone reminding me how to do it.,thought
That person is probably lying and doesn't like me.,thought
Maybe something is unlikable about me.,thought
I won't be successful at making friends.,thought
I will live a lonely life.,thought
I must not be doing this diet thing right.,thought
I won't be successful at losing weight.,thought
I will feel bad about my appearance.,thought
It will affect my attitude negatively.,thought
I must not be good at persuading people.,thought
I will get pushed around in life.,thought
I won't get the relationships I want with others.,thought
I'll be constantly disappointed with life.,thought
I am miserable because I have such a hard time saying no.,thought
I will continue to get stuck in situations I don't feel good about.,thought
I won't be very happy with many outcomes in my life.,thought
I will feel helpless in controlling how my life turns out.,thought
He must not be as nice as I thought because he snubbed me.,thought
I probably don't accurately perceive people when I first meet them.,thought
I am at risk of making bad friendship choices.,thought
I will continue to get hurt and attached to unhealthy people.,thought
I'm not succeeding,thought
I will be fat forever,thought
I won't be attractive,thought
People won't like me,thought
My wife might become less attracted to me,thought
I might lose my wife,thought
I could be alone,thought
I'm not good enough to my family,thought
I haven't done what is right for my family,thought
I'm never going to get a job,thought
I might lose my house and my family,thought
I'm going to be alone,thought
I won't find anyone else to love me,thought
I won't be able to live a happy life,thought
This sadness wasn't as bad as it will be when it happens for real.,thought
This sadness will be drawn out for much longer,thought
I'm not going to get to start to recover for a long time. This is agonizing.,thought
I worked so hard and got nothing. ,thought
I would need to work harder.,thought
review my eating and recount calories,thought
I need to get better at this. ,thought
I might be incompetent at this task. ,thought
I could get really frustrated.,thought
my behavior might be unacceptable. ,thought
I could get judged harshly for my behavior. ,thought
"marriage is forever, which means not quitting when it's difficult",thought
I believed in the commitment and he did not. ,thought
I was foolish to commit,thought
"marriage is really an illusion, not a sacred vow",thought
not everyone believes in religion as much as I do,thought
Why does she always do this?,thought
She is not listening to me. ,thought
I can't get what I need form her. ,thought
Similar situations will repeat in the future damaging our relationship. ,thought
maybe he did not see me,thought
I would wonder if I was being avoided. ,thought
I might not be likable,thought
I would be isolated from people. ,thought
I would become a hermit.,thought
I am going to fail this assignment,thought
I may do poorly in the class,thought
I may end up doing poorly in school this semester,thought
"They were really looking forward to visiting, I think I disappointed them",thought
They may not want to visit me in the future,thought
My relationship with them may deteriorate,thought
I may be very lonely,thought
I am not good enough for any of these jobs,thought
I am going to be a failure in life,thought
I am not going to make enough money to support myself and let myself down,thought
Why can't they cooperate on this?,non-thought
They are making the plans difficult for me,thought
My friend might be disappointed in what was planned,thought
My friend was depending on me and I let him down. ,thought
Why didn't they wave back?,non-thought
They really don't like me,thought
They could start to make fun of me with other people,thought
I could lose some friends,thought
I'm not capable of coming up with anything for this essay,thought
I'm not smart enough for this class,thought
I'm going to fail the class,thought
"I'll have to retake it, which will put me behind schedule to graduate on time",thought
My family is taking this personally when they shouldn't be,thought
My family doesn't consider things from my point of view,thought
I can't get a job,thought
I won't be able to pay my bills,thought
I could end up having to move back in with my parents,thought
My friends aren't interested in my game idea,thought
My friends don't care about what I'm doing,thought
My friends think I'm annoying,thought
My friends don't like me,thought
I'm unlikeable,thought
He must not remember me,thought
I'm not memorable,thought
I'm boring,thought
Nobody really likes me.,thought
I am annoying.,thought
People don't want to be around me.,thought
I can't seem to do anything right.,thought
I am a failure.,thought
I won't be able to meet my health goals.,thought
I will be unhealthy.,thought
I won't feel well.,thought
I am not good enough for anyone.,thought
I am a failure.,thought
I cannot accomplish my goals.,thought
I won't be able to make money.,thought
I won't be able to pay my bills.,thought
I will struggle to afford a place to live and food to eat.,thought
I didn't do anything wrong.,thought
It is not my fault.,thought
I am self-centered.,thought
I don't think about others like I should.,thought
I won't have as many friends and people won't like me.,thought
I am not good enough for him.,thought
I am not doing enough to keep his attention.,thought
I am not doing a good job in our relationship.,thought
The relationship will weaken and fall apart.,thought
I would be thinking I can get this done because it's my job. ,thought
Anger towards myself for not doing a good enough job,thought
I would want to figure out why and how I could do a better job next time.,thought
Because I am better than that and can do better in my life. ,thought
Because I hold myself to a high standard. ,thought
I would miss her because she won't be around anymore and I loved her very much.,thought
I would wonder why she left the way she did.,thought
I would ask myself if there's anything different I could have changed. ,thought
My friend's acting like a dick when I showed up for him.,thought
It'd be upsetting because I'm at his party and he's the only person I know,thought
I don't know anybody else here,thought
felt like whooping my son's ass for not listening,thought
It's upsetting because my child is supposed to listen to me.,thought
It means he's not listening to me and isn't behaving properly. ,thought
It would mean I need to find the correct way to fix his behavior so that he does what he's supposed to do. ,thought
My boss is a workaholic person who strain people ,thought
Because i will have to look for another job elsewhere,thought
Getting meaningful job you like is scarce,thought
Will have to stay at home for a while before i can get one.,thought
Fear of total depression,thought
i will not be able to pay my bills,thought
i will become nuisance to my family and friends as i will depend on them,thought
i will lose them at the long run,thought
I am free from the burden of constant quarrel,thought
Because she is a female and dating our boss,thought
I wont be able to get promoted on time,thought
My salary will still be the same,thought
Plans and expenses budgeted on the increment will be cancelled,thought
will have to look like a fool explaining to my wife and kids.,thought
He snubbed my greeting ,thought
I will look like a fool waving ,thought
Other peoples attention will be drawn to me,thought
They don't like me.,thought
It would mean that I'm not enjoyable to be around.,thought
It would mean nobody wants to be around me.,thought
It would mean that I might always be alone.,thought
Nobody cares what I have to say.,thought
My thoughts and feelings are pointless.,thought
I have no worth.,thought
If I hurt their feelings they won't love me anymore.,thought
It would mean that my family won't be in my life anymore.,thought
It would mean that I am unloveable.,thought
It would mean that I am alone.,thought
I'm not good enough.,thought
I will always be a failure.,thought
Nothing I do is ever good enough.,thought
I will never make my mother proud.,thought
I have no worth.,thought
"HE HAS RIGHTS TO ORDER ME IN WORKING TIME. IN THIS SCENARIO I AM IN BREAK TIME, SO HE HAS NO RIGHTS TO ASK ABOUT MY UNCOMPLETED WORK.",thought
IT WAS VERY TRUE BECAUSE I AM WHO I AM. AND I KNOW I WILL COMPLETE THE WORK BEFORE DUE DATE THAT'S WHY I FEEL AGGRESSIVE. IF NOT I KEEP CALM.,thought
IT WAS TRUE. OTHER COLLEAGUES ALSO WATCHING ME IN BREAK TIME. IT WAS REALLY A BIG INSULT TO ME.,thought
"IT WAS TRUE BECAUSE IF SOMEONE FROM OTHER PROJECT WATCHED THIS INCIDENT, I BECAME THE TOPICS FOR THEM TODAY.",thought
IT WILL CREATE SOME BAD IMAGE TO ME INSIDE THE OFFICE.,thought
OTHER TEAM PROJECT MANAGERS WOULD NOT REFER ME TO THEIR FUTURE PROJECTS.,thought
THIS INCIDENT WILL DIRECTLY AFFECT CAREER.,thought
I DON'T WANT TO LOSE MY JOB FOR THIS INCIDENT.,thought
I FEEL VERY SAD BECAUSE THEY MIGHT NOT CONSIDER ME AS THEIR CLOSE FRIEND.,thought
"IF THEY CONSIDER ME AS THEIR CLOSE FRIEND , THEY WOULD DEFINITELY COME WITH ME FOR OUT.",thought
"IF THEY REPLY ME AS BUSY, THEY WOULD DEFINITELY AVOID ME FOR SOME REASON.",thought
I FEEL VERY SAD.,non-thought
BECAUSE IT WAS SUCH AN EMBRASSING MOMENT THAT I EVER FEEL.,non-thought
EVEN I STRUGGLED TO MAKE TWO SENTENCE. ,thought
THIS WAS EASY FOR BEGINNER IN ESSAY WRITING. BUT I SAT FOR HOUR TO JOIN TWO SENTENCE.  ,thought
I FEEL LITTLE BIT FEAR TO HANDLE THE SITUATION.,thought
WHEN IT COMES TO PARTY MEANS I AM IN CONVERSATION WITH PEOPLE. ,thought
IF NOT IT WAS EMBARRASSING MOMENT FOR ME TO MINGLE WITH ANY ONE.,non-thought
I SERIOUSLY DON'T KNOW WHY. ,thought
I THINK SUDDEN FEEL MAKES ME CRY.,thought
I CAN'T STOP CRYING THAT DAY.,thought
I better end my break fast so I get that the work done.,thought
